Meter Number,Bill Period,Read Type,Total Electric Usage,Avg. kWh/day,Total Electric Charges,Avg. $/Day,Rewards and Event Charges
6312773,10/22/12,Actual,1527,49.26,395.98,12.77,$0.00 
6312773,9/21/12,Actual,1729,57.63,448.07,14.94,$0.00 
6312773,8/22/12,Actual,1501,51.76,351.91,12.13,($10.50)
6312773,7/24/12,Actual,1297,40.53,298.22,9.32,($3.75)
6312773,6/22/12,Actual,1313,43.77,311.75,10.39,$0.00 
6312773,5/23/12,Actual,1234,42.55,288.10,9.93,$0.00 
6312773,4/24/12,Actual,1339,41.84,296.85,9.28,$0.00 
6312773,3/23/12,Actual,1357,46.79,306.38,10.56,$0.00 
6312773,2/23/12,Actual,1448,48.27,329.02,10.97,$0.00 
6312773,1/24/12,Actual,1712,51.88,404.79,12.27,$0.00 
6312773,12/22/11,Actual,1564,52.13,398.98,13.30,$0.00 
6312773,11/22/11,Actual,1341,46.24,339.83,11.72,$0.00 
6312773,10/24/11,Actual,1388,44.77,364.93,11.77,$0.00 
